                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3085,                  4.065,                 1.8531,                0.05737,                0.21488,                0.04214,                 0.0174,                 1.8848,                 5.1144,                 1.7207,             0.00026672,             0.00026672,             0.00026672
                      2,                 2.0082,                 3.1548,                 1.6539,                0.74724,                0.08046,                0.07925,                0.03421,                 2.2344,                 3.2637,                 1.8572,             0.00053922,             0.00053922,             0.00053922
                      3,                 2.1514,                 2.8634,                 1.6717,                0.08927,                0.08968,                0.02169,                0.00847,                 2.4097,                 5.5761,                  2.017,             0.00080049,             0.00080049,             0.00080049
                      4,                 2.2358,                 2.9386,                  1.762,                0.05147,                0.03425,                0.01502,                  0.006,                 2.5902,                 9.6918,                 2.3363,              0.0010505,              0.0010505,              0.0010505
                      5,                 2.3323,                 3.0429,                 1.8442,                0.00086,                0.03218,                0.00036,                 0.0001,                 4.0899,                 4970.2,                 30.432,              0.0012894,              0.0012894,              0.0012894
                      6,                 2.2636,                   2.87,                 1.8216,                0.14955,                0.13205,                0.02661,                0.00972,                 3.1902,                 8.8156,                 2.8331,               0.001502,               0.001502,               0.001502
                      7,                 2.3195,                 2.8815,                 1.8401,                0.01161,                 0.1424,                0.00822,                0.00381,                 3.2024,                 361.03,                 3.7707,               0.001469,               0.001469,               0.001469
                      8,                 2.3097,                  2.891,                 1.8619,                0.14214,                0.09175,                0.06433,                0.03245,                 2.4497,                 5.0412,                 2.1387,               0.001436,               0.001436,               0.001436
                      9,                 2.3578,                 2.9625,                 1.9176,                0.05903,                0.14782,                0.02796,                0.00634,                 2.7351,                 5.5975,                 2.5114,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.2163,                 2.7503,                 1.7794,                0.08799,                0.21281,                0.04946,                 0.0172,                 2.4832,                 5.6276,                 2.1868,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.3175,                 2.8929,                 1.8338,                0.12152,                0.10545,                0.04784,                0.02486,                 2.5179,                   4.49,                 2.3028,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.2729,                 2.8522,                 1.7993,                0.14012,                0.12511,                0.06927,                0.02526,                 2.5577,                 3.8842,                 2.2126,              0.0013039,              0.0013039,              0.0013039
                     13,                  2.184,                 2.5151,                 1.7415,                0.08947,                0.25725,                0.03832,                0.02246,                 2.7327,                 7.2948,                 2.4004,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.0954,                 2.4217,                 1.6172,                0.27226,                0.19162,                0.14638,                0.05798,                 2.4628,                 3.7133,                 2.0705,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.1513,                 2.5689,                 1.7917,                0.19347,                0.21217,                0.11045,                0.04263,                 2.3075,                 3.1197,                 1.9841,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.2989,                 2.7538,                 1.8059,                0.11632,                0.12249,                0.04327,                0.01797,                 2.4792,                 3.4889,                 2.1486,              0.0011719,              0.0011719,              0.0011719
